(ddp_env) [curso370@login209-18 logs]$ cat gpu_usage_11807744.log
timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/15 01:06:51.269, 0, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:06:51.269, 1, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:06:56.270, 0, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:06:56.270, 1, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:01.270, 0, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:01.270, 1, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:06.270, 0, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:06.270, 1, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:11.271, 0, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:11.271, 1, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:16.271, 0, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:16.271, 1, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:21.271, 0, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:21.272, 1, NVIDIA A100-PCIE-40GB, 0 %, 1 MiB, 40960 MiB
2025/04/15 01:07:26.272, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:07:26.272, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:07:31.272, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:07:31.272, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
