[curso370@login210-18 deliverable_1]$ tail -n 100 gpu_usage.log
2025/03/09 23:18:11.607, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:18:21.607, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:18:31.608, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:18:41.609, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:18:51.609, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:19:01.610, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:19:11.610, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:19:21.611, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:19:31.612, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:19:41.612, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:19:51.613, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:20:01.614, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:20:11.614, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:20:21.615, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:20:31.615, NVIDIA A100-PCIE-40GB, 80 %, 52 %, 40960 MiB, 7275 MiB
2025/03/09 23:20:41.616, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:20:51.617, NVIDIA A100-PCIE-40GB, 84 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:21:01.617, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:21:11.618, NVIDIA A100-PCIE-40GB, 79 %, 52 %, 40960 MiB, 7275 MiB
2025/03/09 23:21:21.618, NVIDIA A100-PCIE-40GB, 84 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:21:31.619, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:21:41.620, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:21:51.620, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:22:01.621, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:22:11.622, NVIDIA A100-PCIE-40GB, 83 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:22:21.622, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:22:31.623, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:22:41.623, NVIDIA A100-PCIE-40GB, 83 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:22:51.624, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:23:01.625, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:23:11.625, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:23:21.626, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:23:31.626, NVIDIA A100-PCIE-40GB, 81 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:23:41.627, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
